業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	画面	資格情報管理CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	情報	パスワード	""	""	stfw secret migrateで旧S/MIME形式の資格情報をage形式へ一括変換する（旧ファイルは.bak退避）。移行前も旧形式は読み込み専用でサポートされ復号参照できる	""
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	条件	資格情報の旧形式移行	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	画面	資格情報管理CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	情報	SSH サーバキー（known_hosts）	""	""	stfw ssh trust <host|group>でテスト対象ホストのサーバキーをknown_hostsへ登録する（旧キー削除+新キー登録）。inventoryグループ指定で一括登録できる（旧実装で未配線だった機能の正式コマンド化）。組み込みプラグイン（collectLog / collectFile）のscp/ssh接続でも本登録が利用される	""
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	情報	インベントリ	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	画面	SSHサーバキー登録CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	イベント	SSHサーバキー収集	外部システム	テスト対象ホスト群	""	""
テスト環境準備業務	接続情報管理フロー	""	環境別の接続情報を使ってテストを適用できる	""	""	""	""	アクター	テスト実行者	環境別inventoryと暗号化保管された資格情報により、シナリオ本体の変更なしに環境を切り替えてテスト対象ホストへ適用できる。組み込みプラグインの設定にはホスト名・資格情報を直接書かず、グループ名参照のみで安全に利用できる	受益者
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	シナリオ	""	""	stfw validateでディレクトリ規約・プラグイン解決可否・config.yml・プラグインが宣言したランタイム依存（前提コマンド: k6・mysql/psqlクライアント・ssh/scp等）を静的検証し、実行可能性を事前確認する。残存する*.digファイルには不要である旨を警告する（ワークフロー定義の生成は廃止され、記述したディレクトリ構造そのものが実行定義となる）	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	業務日付	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	プロセス	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	プラグイン	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	実行対象ディレクトリ規則	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	プラグインのランタイム依存宣言と存在チェック	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	画面	静的検証CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	情報	実行（run）	""	""	stfw run --dry-runでexecute / post_executeをスキップして実行し（setup → pre_execute → teardownは実行）、テスト対象環境への影響なしに実行経路と前後処理を事前検証する	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	情報	実行コンテキスト	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	条件	dry-run の実行範囲	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	条件	run 前静的検証	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	画面	シナリオ実行CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	検証済みシナリオで本実行に臨める	""	""	""	""	アクター	テスト実行者	静的検証・dry-run検証済みのシナリオにより、テスト対象環境へ影響する本実行を安全に開始できる	受益者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	情報	プラグイン	""	""	stfw plugin listで利用可能なプロセスプラグイン（組込みプラグイン群: scripts・収集系 collectLog / collectFile・データストア系 exportXxx / importXxx / clearXxx・検証系 compare・実行系 invokeWeb / invokeRest、およびプロジェクトのカスタムプラグイン）を一覧し、stfw plugin installでプラグインをインストールする（旧 process -l / -I。解決順互換。scaffold生成はstfw new processで行う）	""
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	条件	プラグイン解決順	""	""	""	""
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	画面	プラグイン管理CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	カスタムプラグイン実装ガイドで想定パターンを確認する	""	""	情報	カスタムプラグイン実装ガイド	アクター	シナリオ作成者	カスタムプラグイン実装ガイドを参照し、updateBizDate（業務日付更新）/ invokeJob（ジョブスケジューラ起動）/ importMaster（共通マスターデータ投入）等の想定パターンを組み込みプラグインの組み合わせ例として確認する。想定パターンは組み込みプラグインとしては提供されない（システム外作業: ドキュメント参照）	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	新規プロセスタイプのプラグインを作成する	""	""	""	""	アクター	シナリオ作成者	__commonの構造に従いsetup/execute/teardown等を実装し、テスト対象固有のプロセスタイプを追加する。プロダクト固有の知識（業務日付の更新方法・ジョブスケジューラの呼び出し方・共通マスターデータ）は、組み込みプラグイン（収集系・データストア系・検証系・実行系）を組み合わせたカスタムプラグインとして実装する2層構造とする。プラグインenv契約（stfw_* / STFW_PROJ_DIR系）は維持される（システム外作業: プラグイン開発）	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	追加したプロセスタイプでシナリオを記述できる	""	""	""	""	アクター	シナリオ作成者	組込みプラグイン群とカスタムプラグインのプロセスタイプをstfw new processで選択でき、データ準備・実行・エビデンス収集・期待値比較とテスト対象固有の処理をシナリオに組み込める	受益者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行（run）	""	""	stfw run <scenario-names...>でrun_id（_{YYYYMMDDHHMMSS}_{PID}）を採番し、run前静的検証（対象シナリオの存在チェック等を統合）の通過後に内蔵ランナーで実行を開始する。digdagプロジェクトのpush・server起動等の前準備は不要で、旧server start → run -fの2段階を1コマンドに統合	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 前静的検証	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run_id の採番・保持	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行コンテキスト	""	""	内蔵ランナーがrun/scenario/bizdate各階層のsetup/teardownを直接実行し（digdagからの呼び戻しは廃止）、実行ジャーナルへ開始・終了イベントを記録して階層実行ステータスをStarted→Success/Errorへ遷移させる。bizdateのnode_startイベント時刻はプラグインenv契約（stfw_bizdate_start_ts等）として後続のプロセス実行へ公開される	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行ログ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プロセス	""	""	内蔵ランナーがプロセスをsetup→pre_execute→execute→post_execute→teardownの順に直接実行する（digdagからの呼び戻しは廃止）。プロセスはプロセスタイプに応じたプラグインとして実行され、scriptsのほか組込みプラグイン群（収集系 collectLog / collectFile、データストア系 exportXxx / importXxx / clearXxx、検証系 compare、実行系 invokeWeb / invokeRest）により、1つの業務日付をArrange（準備）→Act（実行）→Collect（収集）→Assert（検証）のパイプラインとして人手を介さず反復できる。scriptsプラグインではscripts/配下をファイル名昇順に逐次実行し、エラー時（compareの比較不一致によるステップ失敗を含む）は後続をBlockedとして停止、ステップ実行ステータスをPending→Success/Error/Blockedへ遷移させる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	スクリプト（ステップ）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	ステップ実行結果	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プラグイン	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	エビデンス	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	期待値（expect）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	比較結果	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	インベントリ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	パスワード	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	SSH サーバキー（known_hosts）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	逐次実行・エラー時 Blocked	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	dry-run の実行範囲	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プラグイン解決順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	収集先ホストとの時刻同期前提	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	export/import ラウンドトリップ互換	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	エビデンスディレクトリ規約	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	比較不一致はステップ失敗	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プラグイン接続情報のグループ名参照	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	リモートテスト適用	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ログ・ファイル収集（scp/ssh）	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ログフィルタ転送・実行	外部システム	logfilter（ログ収集 OSS）	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	k6テスト実行	外部システム	grafana k6	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	テスト対象データストア接続	外部システム	テスト対象データストア（MySQL / PostgreSQL / Redis）	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ファイル比較実行	外部システム	compare-files（ファイル比較 OSS）	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	順序保証・エラー時停止のもとで実行結果を得る	""	""	""	""	アクター	テスト実行者	指定したシナリオ群が業務日付順・連番順に自動実行され、データ準備（Arrange）・取引入力（Act）・エビデンス収集（Collect）・期待値比較（Assert）までが人手を介さず反復される。途中エラー（比較不一致を含む）時は後続を実行せず停止するため、再現性と信頼性のあるテスト結果を得られる	受益者
