業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	情報	プロセス	""	""	digdagからの呼び戻しでプロセスをsetup→execute→teardownの順に実行する。スクリプトはファイル名昇順で逐次実行し、エラー時は後続をBlockedとして停止、ステップ実行ステータスをPending→Success/Error/Blockedへ遷移させる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	情報	スクリプト（ステップ）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	情報	ステップ実行結果	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	条件	逐次実行・エラー時 Blocked	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	条件	dry-run の実行範囲	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	条件	プラグイン解決順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	画面	プロセス実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	イベント	プロセスタスク呼び戻し	外部システム	digdag	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	プロセス配下スクリプトを逐次実行させる	""	プロセスを実行する	イベント	リモートテスト適用	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	順序保証・エラー時停止のもとで実行結果を得る	""	""	""	""	アクター	テスト実行者	指定したシナリオ群が業務日付順・連番順に自動実行され、途中エラー時は後続を実行せず停止するため、再現性と信頼性のあるテスト結果を得られる	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	OTel トレース（スパンツリー）	""	""	実行ジャーナル（journal.jsonl）のイベントの投影として、runをルートにscenario/bizdate/process/stepを子孫とするスパンツリーがOTLP受信先へ送信され、既存のオブザーバビリティ基盤（Jaeger/Grafana Tempo/Datadog等）でそのまま進捗・成否・所要時間を可視化・分析できる（送信先未設定時は送信せず、送信失敗は実行を失敗させない）	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	ステップ実行結果	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	スパンステータス・属性マップ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	OTel エクスポート先未設定時の送信抑制	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	OTel エクスポート失敗の非致命扱い	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	画面	実行状況通知ビュー	アクター	テスト結果確認者	""	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	イベント	実行トレース送信	外部システム	OTLP 受信先（OpenTelemetry Collector / 互換バックエンド）	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	実行ログを追従表示して監視する	""	実行ログを追従する	情報	実行ログ	""	""	stfw run -fで実行中attemptのログを終了までリアルタイム追従表示し、最終stateを確認する	""
テスト結果確認業務	実行結果監視・確認フロー	""	実行ログを追従表示して監視する	""	実行ログを追従する	情報	実行（run）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	実行ログを追従表示して監視する	""	実行ログを追従する	情報	digdag 管理情報	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	実行ログを追従表示して監視する	""	実行ログを追従する	条件	シークレットマスキング	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	実行ログを追従表示して監視する	""	実行ログを追従する	画面	実行ログ追従ビュー	アクター	テスト結果確認者	""	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	実行ログを追従表示して監視する	""	実行ログを追従する	イベント	実行ログ取得	外部システム	digdag	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	Web UI・ログファイルで失敗箇所を調査する	""	""	""	""	アクター	テスト結果確認者	digdag Web UI（attempt URL）とシークレットマスキング済みログファイルで実行詳細を確認し、失敗箇所を特定する（外部システムUI・ログ閲覧）	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	失敗原因に応じてシナリオ・スクリプトを修正する	""	""	""	""	アクター	シナリオ作成者	調査結果をもとにテストスクリプト・設定・シナリオ構造を修正する（システム外作業: エディタ）	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	実行（run）	""	""	修正済みシナリオをstfw runで再実行し、失敗からの回復を確認する（専用のリラン・途中再開I/Fは無く、実行のやり直しとなる）	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	ワークフロー定義（dig）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	条件	run_id / attempt_id の採番・保持	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	イベント	ワークフロー実行依頼	外部システム	digdag	""	""
