業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	画面	暗号化キー生成CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	初期化されたプロジェクトで作業に着手する	""	""	""	""	アクター	テスト実行者	テンプレートとsampleシナリオが展開されたプロジェクトを受け取り、即座にシナリオ作成・実行の作業を開始できる	受益者
テスト環境準備業務	接続情報管理フロー	""	環境別inventoryにテスト対象ホストグループを定義する	""	""	""	""	アクター	環境管理者	staging等の環境別inventoryファイルにweb/ap/db等のホストグループを定義する。組み込みプラグインの収集先・接続先はこのホストグループ名参照で指定される（システム外作業: エディタ）	提供者
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	情報	インベントリ	""	""	stfw inventory existsでホストグループの存在確認、stfw inventory listでホスト一覧取得を行い、定義内容を検証する（旧 --is-exist / --list と出力互換）	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	条件	inventory 全件指定	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	条件	プラグイン接続情報のグループ名参照	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	画面	インベントリ照会CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	パスワード	""	""	stfw secret setでホスト×ユーザー単位の資格情報をage (X25519)で暗号化保管し、stfw secret showで復号表示して登録内容を確認する（重複登録は禁止）。組み込みプラグインの収集先・接続先への接続資格情報も本機構で参照される	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	暗号化キー	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	インベントリ	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	条件	パスワード重複登録禁止	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	条件	シークレットマスキング	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	画面	資格情報管理CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	情報	パスワード	""	""	stfw secret migrateで旧S/MIME形式の資格情報をage形式へ一括変換する（旧ファイルは.bak退避）。移行前も旧形式は読み込み専用でサポートされ復号参照できる	""
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	条件	資格情報の旧形式移行	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	画面	資格情報管理CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	情報	SSH サーバキー（known_hosts）	""	""	stfw ssh trust <host|group>でテスト対象ホストのサーバキーをknown_hostsへ登録する（旧キー削除+新キー登録）。inventoryグループ指定で一括登録できる（旧実装で未配線だった機能の正式コマンド化）。組み込みプラグイン（collectLog / collectFile）のscp/ssh接続でも本登録が利用される	""
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	情報	インベントリ	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	画面	SSHサーバキー登録CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	イベント	SSHサーバキー収集	外部システム	テスト対象ホスト群	""	""
テスト環境準備業務	接続情報管理フロー	""	環境別の接続情報を使ってテストを適用できる	""	""	""	""	アクター	テスト実行者	環境別inventoryと暗号化保管された資格情報により、シナリオ本体の変更なしに環境を切り替えてテスト対象ホストへ適用できる。組み込みプラグインの設定にはホスト名・資格情報を直接書かず、グループ名参照のみで安全に利用できる	受益者
シナリオ作成業務	テストシナリオ作成フロー	""	テストシナリオ（業務フローと日付進行）を設計する	""	""	""	""	アクター	シナリオ作成者	テスト対象の一連の業務処理と業務日付の進行をscenario > bizdate > processの3階層に割り付けて設計する（システム外作業: 人手の設計）	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	シナリオ	""	""	stfw new scenario / new bizdate / new processでscenario > bizdate > processの3階層scaffold（ディレクトリ・metadata.yml・config・scripts雛形）を生成し、テストシナリオの骨格を作る（旧 scenario -i / bizdate -i / process -i）	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	業務日付	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	プロセス	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	メタ情報（metadata.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	業務日付フォーマット	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	連番フォーマット	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	グループ名制約	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	階層ディレクトリ判定	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	プロセス実行の前提条件	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	画面	シナリオscaffold生成CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	テストスクリプトと設定を配置する	""	""	""	""	アクター	シナリオ作成者	scripts/配下に任意言語のテストスクリプトをファイル名昇順=実行順で配置し、Process/Plugin設定（config.yml）に共通環境変数を定義する（システム外作業: スクリプト作成）	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	完成したテストシナリオを実行対象として受け取る	""	""	""	""	アクター	テスト実行者	ディレクトリ構造と命名規則で表現されたテストシナリオにより、手書きの実行手順書なしに一括自動実行の対象を得られる	受益者
シナリオ作成業務	テストシナリオ作成フロー	""	spec を単一ソースとして版管理・共有・再生成する	""	""	""	""	アクター	シナリオ作成者	spec（<name>.yml）とドキュメント（<name>.md）でシナリオ構造を単一ファイルとしてレビュー・共有し、そこからツリーを再生成できるため、版管理・移送が容易になる	受益者
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	シナリオ spec（scenario.yml）	""	""	stfw scenario reverse <name> [-o, --out-dir <dir>] でシナリオツリー（規約ベースの記述＝正）から spec（<name>.yml）とドキュメント（<name>.md）をセット生成する（既定の出力先は docs/）。ドキュメントには各プロセスの group / type / description・要求トレーサビリティ（metadata.yml の requirement_specifications = どの要求をどの process が検証するか）・config サブツリーを表形式で出力する	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	シナリオドキュメント（scenario.md）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	メタ情報（metadata.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	シナリオ	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	条件	spec/doc 往復の可逆性	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	画面	シナリオ往復生成CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	シナリオ spec（scenario.yml）	""	""	stfw scaffold <spec.yml> [--sync] で spec からディレクトリ骨格（scenario > bizdate > process のディレクトリ・metadata.yml・config）を生成する。既存ツリーがある場合 --sync は差分同期（spec に有りツリーに無いディレクトリは追加、両方に有るディレクトリは維持、spec に無くなったディレクトリは削除）、--sync 無しはエラー終了。対話的 scaffold 生成（stfw new）とは別に spec ファイルを単一ソースとしたツリー生成・差分同期の入口を提供する	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	シナリオ	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	業務日付	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	プロセス	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	メタ情報（metadata.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	条件	scaffold の差分同期（--sync）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	条件	spec/doc 往復の可逆性	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	画面	spec scaffold生成CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	シナリオ	""	""	stfw validateでディレクトリ規約・プラグイン解決可否・config.yml・プラグインが宣言したランタイム依存（前提コマンド: k6・mysql/psqlクライアント・ssh/scp等）を静的検証し、実行可能性を事前確認する。残存する*.digファイルには不要である旨を警告する（ワークフロー定義の生成は廃止され、記述したディレクトリ構造そのものが実行定義となる）	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	業務日付	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	プロセス	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	プラグイン	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	実行対象ディレクトリ規則	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	プラグインのランタイム依存宣言と存在チェック	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	画面	静的検証CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	情報	実行（run）	""	""	stfw run --dry-runでexecute / post_executeをスキップして実行し（setup → pre_execute → teardownは実行）、テスト対象環境への影響なしに実行経路と前後処理を事前検証する	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	情報	実行コンテキスト	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	条件	dry-run の実行範囲	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	条件	run 前静的検証	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	画面	シナリオ実行CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	検証済みシナリオで本実行に臨める	""	""	""	""	アクター	テスト実行者	静的検証・dry-run検証済みのシナリオにより、テスト対象環境へ影響する本実行を安全に開始できる	受益者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	情報	プラグイン	""	""	stfw plugin listで利用可能なプロセスプラグイン（組込みプラグイン群: scripts・収集系 collectLog / collectFile・データストア系 exportXxx / importXxx / clearXxx・検証系 compare・実行系 invokeWeb / invokeRest、およびプロジェクトのカスタムプラグイン）を一覧し、stfw plugin installでプラグインをインストールする（旧 process -l / -I。解決順互換。scaffold生成はstfw new processで行う）	""
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	条件	プラグイン解決順	""	""	""	""
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	画面	プラグイン管理CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	カスタムプラグイン実装ガイドで想定パターンを確認する	""	""	情報	カスタムプラグイン実装ガイド	アクター	シナリオ作成者	カスタムプラグイン実装ガイドを参照し、updateBizDate（業務日付更新）/ invokeJob（ジョブスケジューラ起動）/ importMaster（共通マスターデータ投入）等の想定パターンを組み込みプラグインの組み合わせ例として確認する。想定パターンは組み込みプラグインとしては提供されない（システム外作業: ドキュメント参照）	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	新規プロセスタイプのプラグインを作成する	""	""	""	""	アクター	シナリオ作成者	__commonの構造に従いsetup/execute/teardown等を実装し、テスト対象固有のプロセスタイプを追加する。プロダクト固有の知識（業務日付の更新方法・ジョブスケジューラの呼び出し方・共通マスターデータ）は、組み込みプラグイン（収集系・データストア系・検証系・実行系）を組み合わせたカスタムプラグインとして実装する2層構造とする。プラグインenv契約（stfw_* / STFW_PROJ_DIR系）は維持される（システム外作業: プラグイン開発）	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	追加したプロセスタイプでシナリオを記述できる	""	""	""	""	アクター	シナリオ作成者	組込みプラグイン群とカスタムプラグインのプロセスタイプをstfw new processで選択でき、データ準備・実行・エビデンス収集・期待値比較とテスト対象固有の処理をシナリオに組み込める	受益者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行（run）	""	""	stfw run <scenario-names...>でrun_id（_{YYYYMMDDHHMMSS}_{PID}）を採番し、run前静的検証（対象シナリオの存在チェック等を統合）の通過後に内蔵ランナーで実行を開始する。run開始時には保存期間（stfw.housekeep.retention）を過ぎた過去の実行結果（実行ジャーナル・HTMLレポート）を自動ハウスキープする。digdagプロジェクトのpush・server起動等の前準備は不要で、旧server start → run -fの2段階を1コマンドに統合。部分実行として--from {bizdate_dir}[/{process_dir}]（再開: 指定ノードより実行順で前をスキップし指定ノードから最後まで実行。processまで指定時はそのbizdate内の先行processのみスキップし後続bizdateは全process実行）/ --only {bizdate_dir}[/{process_dir}]（ピンポイント: 指定ノードのサブツリーのみ実行）を指定できる（--fromと--onlyは排他、--dry-runと併用可、部分実行時のシナリオ指定は1つのみ）。指定ノードが存在しない場合はrun_id採番・ジャーナル作成・ハウスキープの前にfail-fastでエラー終了し、run前静的検証はフィルタ前のシナリオ全体に実施される	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 前静的検証	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run_id の採番・保持	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	実行結果ハウスキープ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	HTML レポート	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	プロジェクト設定（stfw.yml）	""	""	stfw run 開始時に stfw.yml（+ 同梱デフォルト）のフラット化結果を実行環境へ export する（v0.2 の export_yaml 互換）ため、後続の各プロセス config から ${stfw_...} で stfw.yml の設定値を参照できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行コンテキスト	""	""	内蔵ランナーがrun/scenario/bizdate各階層のsetup/teardownを直接実行し（digdagからの呼び戻しは廃止）、実行ジャーナルへ開始・終了イベントを記録して階層実行ステータスをStarted→Success/Warn/Errorへ遷移させる。上位階層の実行ステータスは配下のError > Warn > Successの優先度で集約され、子にWarnがあれば親もWarnになる。run階層のteardownフックへ公開される環境変数stfw_run_statusは、Warnあり・ErrorなしのrunでWarnになる。bizdateのnode_startイベント時刻はプラグインenv契約（stfw_bizdate_start_ts等）として後続のプロセス実行へ公開される。部分実行（--from / --only）では、スキップされたノードのイベント（node_start / node_end・フック）は実行ジャーナルへ一切記録されず、実行されるノードの祖先階層のフック（run / scenario / 実行対象を含むbizdateのsetup・teardown）は通常どおり実行される。runのnode_startのattrsには部分実行時のみfrom / only（指定パス）が記録される	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行ログ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プロセス	""	""	内蔵ランナーがプロセスをsetup→pre_execute→execute→post_execute→teardownの順に直接実行する（digdagからの呼び戻しは廃止）。プロセスはプロセスタイプに応じたプラグインとして実行され、scriptsのほか組込みプラグイン群（収集系 collectLog / collectFile、データストア系 exportXxx / importXxx / clearXxx、検証系 compare、実行系 invokeWeb / invokeRest、リモートアクセス系 sshExec / scpPut、並走系 parallel）により、1つの業務日付をArrange（準備）→Act（実行）→Collect（収集）→Assert（検証）のパイプラインとして人手を介さず反復できる。scriptsプラグインではscripts/配下をファイル名昇順に逐次実行し、リターンコード3（Warn）のステップはWarnとして記録して続行、Error時（リターンコード0・3以外。on_mismatch: error（既定）のcompare比較不一致によるステップ失敗を含む）は後続をBlockedとして停止し、ステップ実行ステータスをPending→Success/Warn/Error/Blockedへ遷移させる。組込みparallelタイプはプロセスディレクトリ配下に定義した子プロセス（親と同形式）を並走させる（子1件=ジャーナル上の1ステップ、process階層フックは親で1回のみ、子同士にBlockedは無く、親ステータスは全子の悪い方（Error > Warn > Success）で集約、同時実行数はmax_parallel（0=上限なし）で制限）。compareプラグインは設定キーon_mismatch: error（既定）| warnで比較不一致時の扱い（Error停止 / Warn続行）を選択できる。実行系（invokeWeb / invokeRest）はActの結果をk6サマリ（evidence/summary.json）と人間可読なHTMLレポート（evidence/report.html）としてエビデンスに出力する。configチェーンの値中の${...}は実行環境の環境変数（run開始時にexportされたstfw.ymlのフラット化値を含む）を参照して展開され、共通identity（database / user）は${stfw_...}で参照できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	スクリプト（ステップ）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	ステップ実行結果	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プラグイン	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	エビデンス	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	期待値（expect）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	比較結果	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	インベントリ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	パスワード	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	SSH サーバキー（known_hosts）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	逐次実行・エラー時 Blocked	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	dry-run の実行範囲	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プラグイン解決順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	収集先ホストとの時刻同期前提	""	""	""	""
